"Latest: Time (min)","Latest: Temperature (°C)"
149.2,41.6306771213
149.4,41.6081028142
149.6,41.5774767611
149.8,41.5565290505
150,41.5275338401
150.2,41.5065995675
150.4,41.4744039639
150.6,41.4567020388
150.8,41.4293523984
151,41.4100525211
151.2,41.3843267409
151.4,41.3586093901
151.6,41.3345070138
151.8,41.3055939011
152,41.284718803
152.2,41.2526140434
152.4,41.2381711553
152.6,41.2108973336
152.8,41.1820293972
153,41.1579808023
153.2,41.1307345215
153.4,41.1115074672
153.6,41.0842770785
153.8,41.0666623658
154,41.0410478963
154.2,41.0058413842
154.4,40.9866443498
154.6,40.9626545125
154.8,40.9306791983
155,40.9099020544
155.2,40.8907279054
155.4,40.8699610513
155.6,40.8460059284
155.8,40.820461614
156,40.7901381981
156.2,40.7709924048
156.4,40.7518511227
156.6,40.7263364182
156.8,40.6960480834
157,40.6785178708
157.2,40.6578051963
157.4,40.6259497822
157.6,40.6052504049
157.8,40.5734154037
158,40.5559114101
158.2,40.5272765416
158.4,40.5034217512
158.6,40.4811635009
158.8,40.4652684216
159,40.4350761829
159.2,40.4096596722
159.4,40.3810754005
159.6,40.3651994976
159.8,40.3429783215
160,40.3160034309
160.2,40.300139922
160.4,40.266836355
160.6,40.2525674558
160.8,40.2208674886
161,40.1955161355
161.2,40.1796754232
161.4,40.1527530547
161.6,40.1353372823
161.8,40.1100116663
162,40.0894401929
162.2,40.0625465816
162.4,40.0419866382
162.6,40.0135272473
162.8,39.9961400893
163,39.969276014
163.2,39.9550572856
163.4,39.9203103665
163.6,39.8997847365
163.8,39.8824207405
164,39.8555923937
164.2,39.8366597869
164.4,39.8066916881
164.6,39.7924999153
164.8,39.7609710073
165,39.7404833928
165.2,39.7231515117
165.4,39.6947977371
165.6,39.6790496481
165.8,39.6475620401
166,39.6271012105
166.2,39.601925251
166.4,39.5846209957
166.6,39.5578848007
166.8,39.5437336547
167,39.5122948513
167.2,39.4965796771
167.4,39.4682994503
167.6,39.4447395412
167.8,39.4243260508
168,39.4023475754
168.2,39.3850826104
168.4,39.3615449081
168.6,39.3380134615
168.8,39.3160564107
169,39.2925370221
169.2,39.2674565275
169.4,39.2533518526
169.6,39.2376826077
169.8,39.2063523652
170,39.1797302861
170.2,39.1656394468
170.4,39.1452899197
170.6,39.1233802
170.8,39.0905256232
171,39.0764487574
171.2,39.0561193833
171.4,39.0311048935
171.6,39.0076600884
171.8,38.9810966388
172,38.9639126659
172.2,38.9467319411
172.4,38.9217475842
172.6,38.8983309678
172.8,38.8811625995
173,38.8577563833
173.2,38.8359159797
173.4,38.8156402628
173.6,38.7953690228
173.8,38.7719846829
174,38.754839941
174.2,38.7252338017
174.4,38.7065400764
174.6,38.6831782309
174.8,38.6613791558
175,38.6395852011
175.2,38.6146840813
175.4,38.6037919365
175.6,38.5742339589
175.8,38.5571257238
176,38.5338013576
176.2,38.5135916073
176.4,38.499602794
176.6,38.4654166902
176.8,38.4483282985
177,38.4281369233
177.2,38.4110552897
177.4,38.3893194969
177.6,38.3691407335
177.8,38.3458628862
178,38.327244721
178.2,38.3055281396
178.4,38.2822658737
178.6,38.2621098364
178.8,38.2404080948
179,38.2202608894
179.2,38.2063153084
179.4,38.1768812996
179.6,38.1490047709
179.8,38.1381660806
180,38.1226843535
